STORE,Urban_Rural,Market_Name,ST,Population,Asian_Pop,African_American_Pop,Hispanic_Pop,House_Holds,Median_Age,Median_Income,Median_Housing_Value,Total_Older_Vehicles,Total_Vehicles
196,U,Los Angeles,CA,26266,2990,559,17731,7406,39.286328,63125.30614,445548.2054,15434.40668,21877.27701
197,U,Sacramento-Stockton,CA,40509,2586,793,6174,16040,41.48961,-12,402742.7726,26083,37419
197,U,Sacramento-Stockton,CA,40509,2586,793,6174,16040,41.48961,-12,402742.7726,26083,37419
198,U,Los Angeles,CA,81671,19775,7595,34375,21689,33.806261,81728.89319,525413.8638,37240.41421,60094.40775
199,U,Los Angeles,CA,23210,149,2929,18739,4623,31.848462,38028.06605,373974.019,12971.87602,16733.74171
2,U,St. Louis,MO,38902,2157,1033,1160,17280,40.870626,60800.25623,155890.3002,24018.74967,32208.37152
20,U,Los Angeles,CA,26601,3950,1613,,7974,40.095974,65292.56874,437861.3954,15018.95195,20745.13377
200,R,Chico-Redding,CA,20076,295,283,4228,7633,38.551051,33290.85037,156126.7612,14550,18168
201,U,Los Angeles,CA,15942,533,4130,5892,6605,33.708186,37116.949,176665.1075,10828.82462,14091.00978
202,U,San Francisco-Oakland-San Jose,CA,51199,7799,20722,6871,25743,36.564121,57733.99691,527304.1085,29464,38792
203,U,Los Angeles,CA,59247,2389,2524,19664,19640,37.600552,70681.36009,324167.5659,35131,51264
204,U,Los Angeles,CA,18515,1062,166,7795,6447,34.174815,73072.21502,610053.6615,9380,13333
205,U,Los Angeles,CA,33717,2496,696,,10596,36.025438,38491.01189,571161.2619,17267,
206,U,Sacramento-Stockton,CA,36646,8859,4643,7915,12782,37.711172,93249.15112,370784.9605,22669,31691
207,U,San Francisco-Oakland-San Jose,CA,26393,3920,6684,9085,8129,35.169465,87048.66355,402380.243,18191.36526,24781.81951
208,U,San Francisco-Oakland-San Jose,CA,44166,8776,887,8133,16399,40.282867,131671.4556,990844.8241,24031,35610
208,U,San Francisco-Oakland-San Jose,CA,44166,8776,887,8133,16399,40.282867,131671.4556,990844.8241,24031,35610
209,U,San Francisco-Oakland-San Jose,CA,32257,8152,3478,,9671,35.945104,69113.21146,483625.7703,21250.65267,27724.87362
21,R,Fresno-Visalia,CA,26874,1469,253,21950,7416,31.96021,35533.45226,177375.8301,17414.19113,22032.47094
21,R,Fresno-Visalia,CA,26874,1469,253,21950,7416,31.96021,35533.45226,177375.8301,17414.19113,22032.47094
210,U,Los Angeles,CA,17613,210,12963,3015,6361,43.558246,47355.88208,447244.0489,10044.55092,13673.16445
211,U,Los Angeles,CA,15445,528,264,12463,4154,38.513085,58955.94976,424448.0963,8409,11744
212,U,Los Angeles,CA,52375,5623,17128,23417,17963,36.274847,-12,418680.8077,28763.21554,38801.19738
212,U,Los Angeles,CA,52375,5623,17128,23417,17963,36.274847,-12,418680.8077,28763.21554,38801.19738
213,R,San Francisco-Oakland-San Jose,CA,21790,274,769,4959,9014,43.715231,33954.28889,124021.5779,18448.85882,21512.60358
214,U,El Centro-Yuma,CA,1,355,268,,4392,28.341455,53946.00652,215601.168,11096.91242,16308.38789
215,U,Fresno-Visalia,CA,44845,5835,2584,20220,15445,31.513408,61037.41969,254562.0745,24386,32327
216,U,Dallas-Ft. Worth,TX,29930,512,1547,6784,9561,35.061129,71623.15266,173932.584,15416.71125,
217,U,Sacramento-Stockton,CA,18695,3949,2859,7136,5472,31.306082,43547.92399,223707.9901,14316.03918,17699.37765
218,U,Los Angeles,CA,24808,741,1223,10664,9191,41.387504,38219.21445,151015.7519,16247.9217,21332.02665
219,U,Los Angeles,CA,31700,1016,6364,18806,9685,30.081157,33341.8718,229249.0423,19276.86111,25000.67962
22,U,Los Angeles,CA,34608,1588,2057,12955,12025,42.857053,41205.42759,218427.316,19586,26438
220,U,Los Angeles,CA,22766,579,444,6518,8606,42.601559,62796.27677,292978.4502,14663.31917,20856.48954
221,U,Houston,TX,28161,310,6614,17404,7587,29.988118,35206.08998,98110.74549,,14720.64717
222,R,Fresno-Visalia,CA,14179,188,66,10907,3525,32.056837,26741.989,159463.2326,9066.259251,11044.31947
223,R,Fresno-Visalia,CA,12277,138,116,8385,4159,37.252081,40737.05971,216362.2291,8918.220019,11215.89092
224,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,33851,2567,331,10848,11745,39.105787,105346.9226,776507.7596,20201,28122
225,U,Sacramento-Stockton,CA,38306,2100,1534,9299,12999,38.595852,104738.9864,433868.9515,24718,34623
226,U,Indianapolis,IN,19290,241,3899,5880,6578,32.896827,24556.86465,51019.18592,13650.88229,15663.79089
227,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,32521,1081,404,10138,10738,39.701067,76740.21399,420466.6297,19368.8282,26356.87976
228,U,Atlanta,GA,23141,347,15355,4118,8789,33.572547,48379.07022,133673.1611,12879.36776,17338.20157
229,U,Los Angeles,CA,22177,2586,396,8072,7874,39.554994,82888.95915,596326.1819,12914.05671,18986.59005
23,U,San Diego,CA,36273,1269,1531,24702,13195,36.77197,36521.02707,364266.6602,27435,34442
230,R,Los Angeles,CA,11596,290,262,6559,3309,41.118575,53214.48724,254909.589,9997.59212,12018.61839
230,R,Los Angeles,CA,11596,290,262,6559,3309,41.118575,53214.48724,254909.589,9997.59212,12018.61839
231,U,San Francisco-Oakland-San Jose,CA,23840,2686,4828,7769,7361,41.326091,87783.44518,392146.2578,15188.44789,20406.58257
232,U,Los Angeles,CA,32527,2888,179,26832,7420,38.619547,54696.2925,431503.8513,21012.01736,28745.59822
233,U,Los Angeles,CA,20508,455,1348,15471,4033,27.508904,30175.29194,225231.5279,14225.26703,17445.29415
234,U,Los Angeles,CA,35736,12800,1064,5139,14511,41.061025,95483.26145,747262.8407,18054.10455,27699.36064
235,U,Seattle-Tacoma,WA,37659,1336,774,3955,13616,39.410521,75268.15035,310108.098,32440.82643,41521.87163
236,U,Los Angeles,CA,42166,362,4171,37734,9101,30.563812,19480.30838,343516.9859,25975,31261
237,U,Los Angeles,CA,74508,19605,4409,41712,28340,35.514155,28401.51079,615403.4728,,39202.67534
238,U,Los Angeles,CA,50651,387,19605,33185,15365,35.667458,22412.18616,352426.0473,32433.00677,40920.3866
239,U,Los Angeles,CA,42017,6484,9142,22101,12871,37.77144,41872.24859,405986.8206,23362.51156,31163.23408
24,U,Los Angeles,CA,41969,1064,3216,17875,15301,38.439875,35751.49894,141327.0935,25306.96027,33374.42845
240,U,Sacramento-Stockton,CA,30843,1295,736,20682,7625,30.588435,39592.49797,200770.4892,21688,26087
241,U,Los Angeles,CA,38939,4886,748,29620,8819,37.230648,54363.48096,419525.8152,22570.16259,30204.80721
242,U,San Francisco-Oakland-San Jose,CA,46778,2266,18221,26862,14342,34.327068,40897.92992,341448.8079,41182,48778
243,U,San Diego,CA,22623,735,2809,17048,5291,31.549782,23948.72895,310120.5222,16958.30173,20086.10058
244,U,Chico-Redding,CA,35482,1608,959,6112,14767,33.961944,60378.5279,299432.9976,20899.68613,27532.59124
244,U,Chico-Redding,CA,35482,1608,959,6112,14767,33.961944,60378.5279,299432.9976,20899.68613,27532.59124
245,R,Chico-Redding,CA,39666,4284,1125,5199,14553,39.647471,34987.83638,171072.1442,31454,37882
246,R,Chico-Redding,CA,16840,293,134,1274,7135,48.765291,42409.72637,186256.2444,11531,13610
247,U,San Francisco-Oakland-San Jose,CA,1,766,1171,8459,6424,35.257282,78336.71656,324960.5587,14532.67363,19212.80327
248,U,San Francisco-Oakland-San Jose,CA,47704,7233,5110,23330,12924,35.794214,69102.35454,332374.4738,30972.17102,39937.19843
249,U,San Francisco-Oakland-San Jose,CA,46037,3284,10866,26623,15484,35.56803,45574.69086,377233.9532,37806,46932
25,U,Los Angeles,CA,34249,2109,2327,13826,12189,35.434968,56236.56326,322004.1967,20501,28561
250,U,Sacramento-Stockton,CA,22835,543,200,2415,8210,43.149253,114584.3478,422837.4725,13885.21372,19039.87773
251,U,Fresno-Visalia,CA,20539,2076,1261,11850,5946,30.534281,22127.12508,163065.8029,11623.22893,13877.80459
252,U,Fresno-Visalia,CA,28485,5085,1665,,7433,28.684118,20034.32989,124811.8793,18586,21659
253,U,Fresno-Visalia,CA,23507,3612,1849,15669,8067,30.880257,25241.93032,153916.0681,15932.79378,19314.01611
254,U,Fresno-Visalia,CA,1,3083,1598,,7171,29.829468,29852.24491,178208.3546,12775.18619,15983.36364
255,U,Fresno-Visalia,CA,33928,3722,1816,13261,12827,31.007472,-12,152209.1709,18112.42965,22900.00959
255,U,Fresno-Visalia,CA,33928,3722,1816,13261,12827,31.007472,-12,152209.1709,18112.42965,22900.00959
256,R,Fresno-Visalia,CA,24293,1744,132,17022,6493,31.81912,37904.08159,249123.1468,15684.40313,19867.84625
257,R,Fresno-Visalia,CA,25929,892,121,21793,7845,33.406969,40060.2766,195694.0521,17410.67821,22177.78411
258,U,El Centro-Yuma,CA,41110,551,95,37459,10267,33.723094,24659.19577,185933.8129,56292.0284,69146.03711
259,U,Bakersfield,CA,38930,483,5853,27376,11926,30.150241,21921.06571,136335.06,25128.7621,30147.56261
26,U,Sacramento-Stockton,CA,65453,13349,1566,18972,22914,36.929021,61144.29999,242896.505,44207,58995
260,U,Bakersfield,CA,1,1056,4309,33398,11919,29.731379,28585.19204,139097.509,29159.16497,35800.03009
261,U,Bakersfield,CA,55544,2657,1506,14190,19434,35.189112,88407.21628,302431.6373,32397.8156,49368.7763
262,R,Los Angeles,CA,35993,952,1259,,14042,37.377829,60824.28508,167736.7589,,30267.26297
263,R,Bakersfield,CA,29946,562,456,5960,11357,40.593665,64432.72661,256552.6164,20436.85167,27784.48029
264,R,Bakersfield,CA,23107,199,637,20223,5850,28.750924,28638.33644,154283.4812,14126.37528,17559.1313
265,U,Fresno-Visalia,CA,38464,1453,2360,18701,12610,29.759466,52988.69582,227786.3239,22342.57341,31004.37076
